Maria,White:female
Charles,Harris:male
Susan,Martin:female
Joseph,Thompson:male
Christopher,Garcia:male
Angela,Martinez:female
Thomas,Robinson:male
Margaret,Clark:female
Juan,Rodriguez:male
Dorthy,Lewis:female
Daniel,Lee:male
Lisa,Walker:female
Paul,Hall:male
Nancy,Allen:female
Mark,Young:male
Luis,Hernandez:male
Donald,King:male
George,Wright:male
Ana,Lopez:female
Kenneth,Hill:male
Karen,Scott:female
Steven,Green:male
Betty,Adams:female
Edward,Baker:male
Ivana,Teach:female
James,Smith:male
Mary,Johnson:female
John,Williams:male
Patricia,Jones:female
Robert,Brown:male
